Ticker,SharesOut,ZacksSector,Beta,Price,Name
CCF,9.42,Construction,0.69,118.48,Chase Corporation
CCHGY,363.27,Consumer Staples,0.3,34.3,COCA-COLA HBC
CCI,415.77,Finance,0.25,142.15,Crown Castle International Corporation
CCIHY,26.64,Computer and Technology,,,ChinaCache International Holdings Ltd.
CCJ,395.8,Basic Materials,0.87,8.9,Cameco Corporation
CCK,135.53,Industrial Products,1.53,72.54,"Crown Holdings, Inc."
CCL,527.05,Consumer Discretionary,1.13,50.83,Carnival Corporation
CCLAY,724,Consumer Staples,0.69,7.78,Coca-Cola Amatil Ltd.
CCLP,47.08,Oils-Energy,1.86,2.7147,CSI Compressco LP
CCM,43.36,Medical,-0.21,2.6678,Concord Medical Services Holdings Limited
CCMP,29.1,Computer and Technology,1.32,144.32,Cabot Microelectronics Corporation
CCNE,15.2,Finance,0.98,32.68,CNB Financial Corporation
CCO,466.08,Business Services,0.85,2.86,"Clear Channel Outdoor Holdings, Inc."
CCOEY,427,Consumer Discretionary,-0.77,13.96,"Capcom Co., Ltd."
CCOHY,100.98,Construction,0.99,46.16,China State Construction International Holdings Ltd.
CCOI,46.83,Computer and Technology,0.58,65.81,"Cogent Communications Holdings, Inc."
CCOM,9.15,Construction,1.08,1.15,CCOM Group Inc.
CCOZY,662.93,Oils-Energy,1.09,7.88,China Coal Energy Co.
CCR,27.63,Oils-Energy,0.91,9.4,CONSOL Coal Resources LP
CCRC,18.33,Business Services,-0.27,9.55,"China Customer Relations Centers, Inc."
CCRN,36.88,Business Services,1.3,11.62,"Cross Country Healthcare, Inc."
CCS,31.35,Construction,1.17,27.35,"Century Communities, Inc."
CCU,184.75,Consumer Staples,0.55,18.97,"Compania Cervecerias Unidas, S.A."
CCUR,8.92,Business Services,0.49,4.35,Concurrent Computer Corporation
CCXI,58.05,Medical,2.27,39.55,"ChemoCentryx, Inc."
CDAY,143.98,Computer and Technology,1.6,67.88,Ceridian HCM Holding Inc.
CDE,240.52,Basic Materials,0.93,8.08,"Coeur Mining, Inc."
CDEV,276.74,Oils-Energy,2.02,4.62,CENTENNIAL RES
CDEVY,906.9,Finance,1.18,8.17,City Developments Ltd.
CDK,121.4,Computer and Technology,0.92,54.68,"CDK Global, Inc."
CDLX,22.83,Business Services,1.72,62.86,"Cardlytics, Inc."
CDMO,56.34,Medical,2.78,7.67,"Avid Bioservices, Inc."
CDNA,42.44,Medical,0.84,21.57,"CareDx, Inc."
CDNS,280.59,Computer and Technology,1.15,69.36,"Cadence Design Systems, Inc."
CDOR,11.92,Finance,2.65,11.04,"Condor Hospitality Trust, Inc."
CDR,89.02,Finance,0.87,2.95,"Cedar Realty Trust, Inc."
CDTI,4.07,Business Services,2.62,0.1775,"CDTI ADVANCED MATERIALS, INC."
CDTX,33.04,Medical,2.31,3.84,"Cidara Therapeutics, Inc."
CDW,143.68,Computer and Technology,1.08,142.84,CDW Corporation
CDXC,59.58,Medical,1.4,4.31,ChromaDex Corporation
CDXI,137.26,Medical,-0.67,0.0507,"Cardax, Inc."
CDXS,58.52,Medical,0,15.99,"Codexis, Inc."
CDYCF,74.24,Basic Materials,-0.75,0.0149,Cardero Resource Corp.
CDZI,27,Consumer Staples,-0.04,11.02,"Cadiz, Inc."
CE,120.87,Basic Materials,1.34,123.12,Celanese Corporation
CEA,289.35,Transportation,1.57,27.37,China Eastern Airlines Corporation Ltd.
CECE,35.24,Industrial Products,0.99,7.66,CECO Environmental Corp.
CECO,70.38,Consumer Discretionary,1.52,18.39,Career Education Corporation
CEE,6.79,Finance,0.92,28.3,"The Central and Eastern Europe Fund, Inc."
CEFC,3.96,Finance,0.13,11.45,Commercial National Financial Corp.
CEGMF,339.39,Basic Materials,19.79,0.002,Cerro Grande Mining Corp.
CEI,4.43,Oils-Energy,1.58,1.91,"Lucas Energy, Inc."
CEIX,25.9,Oils-Energy,1.07,14.51,Consol Energy Inc.
CEL,116.2,Computer and Technology,1.41,3.15,"Cellcom Israel, Ltd."
CELC,10.25,Medical,0.42,10.64,"Celcuity, Inc."
CELH,68.88,Consumer Staples,1.04,4.83,Celsius Holdings Inc.
CELP,12.07,Oils-Energy,1.53,9.2,"Cypress Energy Partners, L.P."
CELTF,1155.95,Basic Materials,0.36,1.675,CENTAMIN PLC
CEMI,17.57,Medical,1.58,4.56,"Chembio Diagnostics, Inc."
CENT,55.93,Consumer Discretionary,-0.04,31.07,Central Garden & Pet Company
CENTA,55.93,Consumer Discretionary,0.11,29.36,Central Garden & Pet Company
CENX,88.89,Industrial Products,1.97,7.515,Century Aluminum Company
CEO,446.48,Oils-Energy,1.09,166.67,CNOOC Limited
CEPU,151.4,Oils-Energy,1.48,4.86,Central Puerto S.A. Sponsored ADR
CEQP,71.85,Oils-Energy,1.9,30.82,Crestwood Equity Partners LP
CERC,44.11,Medical,2.23,5.39,Cerecor Inc.
CERN,314.1,Medical,0.93,73.39,Cerner Corporation
CERPQ,24.64,Basic Materials,-2.16,0.0155,Cereplast Inc.
CERS,140.32,Medical,1.62,4.22,Cerus Corporation
CET,25.48,Finance,0.91,33.1,Central Securities Corporation
CETV,253.61,Consumer Discretionary,1.2,4.53,Central European Media Enterprises Ltd.
CETX,3.98,Industrial Products,1.29,1.3,Cemtrex Inc.
CEV,7.13,Finance,-0.01,13.48,Eaton Vance California Municipal Income Trust
CEVA,21.99,Computer and Technology,1.46,26.96,"CEVA, Inc."
CEVE,77.1,Medical,-3.78,0.003,Ceres Ventures Inc.
CF,217.43,Basic Materials,0.95,47.74,"CF Industries Holdings, Inc."
CFB,51.97,Finance,,14.42,"CrossFirst Bankshares, Inc."
CFBI,7.56,Finance,0.05,11.45,COMMNTY FST BCS
CFBK,5.34,Finance,0.55,13.95,Central Federal Corporation
CFFA,35.92,Computer and Technology,,10.25,CF Finance Acquisition Corp.
CFFI,3.42,Finance,0.63,55.33,C&F Financial Corporation
CFFN,141.5,Finance,0.52,13.73,Capitol Federal Financial
CFG,434.72,Finance,1.5,40.61,"Citizens Financial Group, Inc."
CFIN,0.01,Finance,-0.16,5000,Citizens Financial Corp.
CFMS,68.71,Medical,2.22,1.5,"ConforMIS, Inc."
CFNB,10.28,Finance,0.36,16.65,California First National Bancorp
CFR,62.56,Finance,1.39,97.78,"Cullen/Frost Bankers, Inc."
CFRUY,10440,Retail-Wholesale,0.94,7.815,Compagnie Financiere Richemont AG
CFRX,79.41,Medical,0.49,0.6207,ContraFect Corporation
CFX,117.76,Industrial Products,1.65,36.38,Colfax Corporation
CG,117.27,Finance,1.74,32.08,The Carlyle Group L.P.
CGA,5.97,Basic Materials,1.19,2.81,"China Green Agriculture, Inc."
CGBD,59.01,Finance,0.89,13.38,"TCG BDC, Inc."
CGC,348.56,Medical,3.59,21.09,Canopy Growth Corporation
CGEMY,845.75,Business Services,1.12,24.361,Cap Gemini SA
CGEN,51.29,Medical,2.75,5.96,Compugen Ltd.
CGGYY,709.95,Oils-Energy,2.62,3.26,CGG
CGIPQ,28.3,Transportation,2.69,0.0145,"Celadon Group, Inc."
CGIX,2.1,Medical,2.36,5.96,"Cancer Genetics, Inc."
CGNH,118.68,Medical,-1.44,0.0088,CardioGenics Holdings Inc.
CGNX,170.9,Computer and Technology,2.09,56.04,Cognex Corporation
CHA,809.32,Utilities,0.71,41.19,China Telecom Corp Ltd
CHAP,46.4,Oils-Energy,4.3,1.76,"Chaparral Energy, Inc."
CHBAY,153.76,Finance,0.7,28.258,Chiba Bank Ltd.
CHCI,7.97,Construction,-0.23,1.9565,"Comstock Holding Companies, Inc."
CHCJY,2446.75,Finance,0.33,11.18,China CITIC Bank Corporation Limited
CHCO,16.3,Finance,0.78,81.95,City Holding Company
CHCR,71.66,Medical,3.27,0.4,"Advanzeon Solutions, Inc."
CHCT,20.18,Finance,0.66,42.86,Community Healthcare Trust Incorporated
CHD,245.4,Consumer Staples,0.1,70.34,"Church & Dwight Co., Inc."
CHDN,40.04,Consumer Discretionary,1.22,137.2,"Churchill Downs, Incorporated"
CHE,16.01,Medical,1.1,439.26,Chemed Corporation
CHEF,30.33,Consumer Staples,0.78,38.11,"The Chefs' Warehouse, Inc."
CHEK,1.6,Medical,,,Check-Cap Ltd.
CHFFF,6142.98,Business Services,0.49,0.7815,CHINA EVERBRIHT
CHFS,4.67,Medical,2.27,0.8612,Sunshine Heart Inc
CHGG,120.98,Computer and Technology,1.02,37.91,"Chegg, Inc."
CHGI,27.5,Basic Materials,-1.55,0.016,China Carbon Graphite Group Inc.
CHH,55.73,Consumer Discretionary,0.96,103.43,"Choice Hotels International, Inc."
CHHE,65.54,Medical,2.95,0.55,"China Health Industries Holdings, Inc."
CHK,1954.16,Oils-Energy,2.35,0.8256,Chesapeake Energy Corporation
CHKP,152.24,Computer and Technology,0.76,110.96,Check Point Software Technologies Ltd.
CHL,4095.1,Computer and Technology,0.56,42.27,China Mobile (Hong Kong) Ltd.
CHMA,42.02,Medical,1.16,4.96,"Chiasma, Inc."
CHMG,4.85,Finance,0.28,42.5,Chemung Financial Corp
CHMI,16.9,Finance,0.47,14.59,Cherry Hill Mortgage Investment Corporation
CHMP,0.06,Industrial Products,0.15,14.02,Champion Industries Inc.
CHNG,124.85,Medical,,16.39,Change Healthcare Inc.
CHNR,24.91,Basic Materials,2.23,2.09,"China Natural Resources, Inc."
CHOPF,5.93,Basic Materials,4.14,,China Gerui Advanced Materials Group Ltd.
CHRA,29.62,Oils-Energy,0.22,2.44,"Charah Solutions, Inc."
CHRS,70.13,Medical,2.89,18.005,"Coherus BioSciences, Inc."
CHRW,135.25,Transportation,0.61,78.2,"C.H. Robinson Worldwide, Inc."
CHRYY,85.93,Computer and Technology,1.02,20.71,Chorus Ltd.
CHS,118.62,Retail-Wholesale,0.36,3.81,"Chico's FAS, Inc."
CHSTY,65.41,Industrial Products,-0.09,15.47,China High Speed Transmission Equipment Group Co.
CHT,775.74,Utilities,0.11,36.9,"Chunghwa Telecom Co., Ltd."
CHTR,214.78,Consumer Discretionary,1.19,485.08,"Charter Communications, Inc."
CHU,3059.81,Computer and Technology,0.9,9.36,China Unicom (Hong Kong) Ltd
CHUC,18973.83,Consumer Staples,10.68,0.0018,True Drinks Holdings Inc.
CHUY,16.61,Retail-Wholesale,0.33,25.92,"Chuy's Holdings, Inc."
CHWY,398.6,Consumer Staples,,29,Chewy Inc.
CHYCY,258.97,Construction,1.24,2.56,Chiyoda Corp. Unsponsored ADR
CI,373.42,Finance,0.75,204.49,Cigna Corporation
CIA,53.37,Finance,0.89,6.75,"Citizens, Inc."
CIADY,392.77,Consumer Staples,0.73,41.31,CHINA MENGNIU
CIB,240.46,Finance,0.75,54.79,BanColombia S.A.
CIBH,19.57,Finance,0.29,1.39,"Cib Marine Bancshares, Inc."
CIBN,0.8,Finance,0.05,18.11,Community Investors Bancorp Inc.
CICHY,12500.55,Finance,1.29,17.3,China Construction Bank Corp.
CICN,208.02,Computer and Technology,-0.04,0.0088,Cicero Inc.
CICOY,2043.26,Transportation,0.97,2.005,China Cosco Holdings Co.
CIDM,39.79,Business Services,1.28,0.7,Cinedigm Corp
CIEIQ,29.92,Oils-Energy,,,"Cobalt International Energy, Inc."
CIEN,154.05,Computer and Technology,1.11,42.69,Ciena Corporation
CIF,19.63,Finance,0.77,2.785,MFS Intermediate High Income Fund
CIG,1458.75,Utilities,0.09,3.41,Comp En De Mn Cemig ADS
CIGI,38.46,Finance,1.59,77.97,Colliers International Group Inc.
CIHKY,5043.97,Finance,1.41,25.69,China Merchants Bank Co.
CIIX,52.48,Computer and Technology,0.32,0.16,"Chineseinvestors.Com, Inc."
CIK,52.31,Finance,0.55,3.22,"Credit Suisse Asset Management Income Fund, Inc."
CIM,187.16,Finance,0.55,20.56,Chimera Investment Corporation
CINF,163.37,Finance,0.58,105.15,Cincinnati Financial Corporation
CINR,19.76,Basic Materials,1.09,17.35,Ciner Resources LP
CIO,54.55,Finance,0.43,13.52,"City Office REIT, Inc."
CIOXY,2713.36,Finance,1.1,1.999,Cielo SA
CIR,19.91,Industrial Products,2.18,46.24,"CIRCOR International, Inc."
CISN,148.49,Computer and Technology,0.84,9.97,Capitol Acquisition Corp. III
CIT,94.72,Finance,1.59,45.63,CIT Group Inc.
CIVB,15.48,Finance,0.83,24,"Civista Bancshares, Inc."
CIX,12.44,Industrial Products,0.76,14.59,CompX International Inc.
CIZN,5.58,Finance,-0.1,21.88,Citizens Holding Company
CJEWY,1000,Retail-Wholesale,1.36,9.492,CHOW TAI FOOK
CJJD,32.94,Retail-Wholesale,0.72,1.82,"China Jo-Jo Drugstores, Inc."
CJPRY,1960.77,Transportation,0.27,20.04,Central Japan Railway Co.
CJREF,208.59,Consumer Discretionary,0.62,4.0905,Corus Entertainment Inc.
CKFC,3.31,Finance,0.37,10.45,Clarkston Financial Corp.
CKH,20.18,Oils-Energy,0.8,43.15,"SEACOR Holdings, Inc."
CKHUY,3856.24,Conglomerates,1.09,9.53,Ck Hutchison Holdings Ltd
CKPT,38.22,Medical,2.7,1.72,"Checkpoint Therapeutics, Inc."
CKX,1.94,Finance,0.51,9.318,"CKX Lands, Inc."
CL,857.04,Consumer Staples,0.71,68.84,Colgate-Palmolive Company
CLAD,14.85,Consumer Staples,576.1,1.7,"China Liaoning Dingxu Ecological Agriculture Development, Inc."
CLAR,29.89,Consumer Discretionary,1.32,13.56,Clarus Corporation
CLB,44.38,Oils-Energy,1.92,37.67,Core Laboratories N.V.
CLBK,114.17,Finance,0.47,16.94,COLUMBIA FINL
CLBS,10.4,Medical,1.6,2.51,"Caladrius Biosciences, Inc."
CLCN,12.65,Consumer Discretionary,0.74,0.08,Creative Learning Corporation
CLCT,9.23,Business Services,0.99,23.05,"Collectors Universe, Inc."
CLDB,4.38,Finance,0.03,21.808,Cortland Bancorp
CLDOF,25.29,Finance,-0.09,0.04,China Lending Corporation
CLDPQ,76.51,Oils-Energy,0.78,0.0035,Cloud Peak Energy Inc
CLDR,279.65,Computer and Technology,0.97,11.63,"Cloudera, Inc."
CLDT,46.92,Finance,1.06,18.34,Chatham Lodging Trust (REIT)
CLDX,16.13,Medical,3.39,2.23,"Celldex Therapeutics, Inc."
CLF,270.08,Basic Materials,2.06,8.4,Cleveland-Cliffs Inc.
CLFD,13.64,Computer and Technology,1.55,13.94,"Clearfield, Inc."
CLGN,3.82,Medical,1.37,5.7,CollPlant Holdings Ltd. Sponsored ADR
CLGX,79.52,Business Services,0.69,43.71,"CoreLogic, Inc."
CLH,55.81,Business Services,1.62,85.75,"Clean Harbors, Inc."
CLI,90.55,Finance,1.06,23.13,Mack-Cali Realty Corporation
CLIGF,122.4,Medical,-0.33,12,CLINIGEN GP PLC
CLIR,26.7,Industrial Products,0.33,0.7625,ClearSign Combustion Corporation
CLKA,61.56,Consumer Discretionary,13.02,0.0001,MK Automotive Inc.
CLLDY,2087.53,Finance,1.2,5.44,CapitaLand Ltd.
CLLS,42.45,Medical,1.88,17.12,Cellectis S.A.
CLM,72.81,Finance,1.23,11.21,CORNERSTONE STR
CLMT,77.55,Oils-Energy,1.79,3.65,"Calumet Specialty Products Partners, L.P."
CLNC,128.54,Finance,0.57,13.16,"COLONY CREDIT REAL ESTATE, INC."
CLNE,204.72,Utilities,1.98,2.34,Clean Energy Fuels Corp.
CLNY,487.75,Finance,1.34,4.75,"COLONY CAPITAL, INC."
CLPBY,2160,Medical,0.49,12.39,Coloplast A/S
CLPHY,2526.45,Utilities,0.13,10.426,CLP Holdings Ltd.
CLPR,17.82,Finance,0.09,10.6,Clipper Realty Inc.
CLPS,13.91,Computer and Technology,6.91,5,CLPS Incorporation
CLR,371.42,Oils-Energy,1.77,34.3,"Continental Resources, Inc."
CLRB,9.4,Medical,1.45,2.25,"Cellectar Biosciences, Inc."
CLRO,16.65,Computer and Technology,0.97,1.66,"ClearOne, Inc."
CLS,128.42,Computer and Technology,0.84,8.27,"Celestica, Inc."
CLSD,41.15,Medical,0.09,2.9,"Clearside Biomedical, Inc."
CLSKD,4.78,Business Services,,5.35,"Cleanspark, Inc."
CLSN,22.76,Medical,1.92,1.71,Celsion Corporation
CLTS,332.82,Basic Materials,0.48,0.0072,Earth Life Sciences Inc.
CLUB,28,Consumer Discretionary,1.27,1.71,"Town Sports International Holdings, Inc."
CLVS,54.81,Medical,3.14,10.425,"Clovis Oncology, Inc."
CLW,16.52,Basic Materials,1.99,21.36,Clearwater Paper Corporation
CLWA,10.39,Computer and Technology,-25.59,7,CallWave Inc.
CLWD,187.63,Computer and Technology,-0.42,0.0019,Warp 9 Inc.
CLWT,3.09,Industrial Products,1.14,2.2613,Euro Tech Holdings Company Limited
CLWY,7.35,Retail-Wholesale,0.48,6.095,Calloway's Nursery Inc.
CLX,125.5,Consumer Staples,0.39,153.54,The Clorox Company
CLXT,32.95,Consumer Staples,2.61,7.01,"Calyxt, Inc."
CM,445.55,Finance,1.14,83.2,Canadian Imperial Bank of Commerce
CMA,144.15,Finance,1.56,71.75,Comerica Incorporated
CMAKY,4378.24,Finance,1.16,7.56,CHINA MINSHENG
CMBM,25.63,Computer and Technology,,8.74,Cambium Networks Corporation
CMC,118.65,Basic Materials,1.82,22.27,Commercial Metals Company
CMCI,53.1,Consumer Staples,1.41,0.0231,China Modern Agricultural Information Inc.
CMCL,10.75,Basic Materials,0.62,8.42,Caledonia Mining Corporation PLC
CMCM,143.33,Computer and Technology,1.78,3.63,Cheetah Mobile Inc.
CMCO,23.67,Industrial Products,1.75,40.03,Columbus McKinnon Corporation
CMCSA,4549.25,Consumer Discretionary,1.05,44.97,Comcast Corporation
CMCT,14.6,Finance,0.17,14.5,CIM Commercial Trust Corporation
CMD,42.58,Medical,0.97,70.9,Cantel Medical Corp.
CME,358.36,Finance,0.18,200.72,CME Group Inc.
CMG,27.8,Retail-Wholesale,0.71,837.11,"Chipotle Mexican Grill, Inc."
CMGO,449.51,Business Services,4.49,0.0075,CMG Holdings Group Inc.
CMHF,2.25,Finance,,21.87,"Community Heritage Financial, Inc."
CMHHY,338.95,Conglomerates,0.67,16.55,China Merchants Holdings International Co.
CMI,153.2,Auto-Tires-Trucks,1.14,178.96,Cummins Inc.
CMLS,15.56,Consumer Discretionary,1.75,17.57,"Cumulus Media, Inc."
CMO,94.61,Finance,0.71,7.92,Capstead Mortgage Corporation
CMOT,29.48,Auto-Tires-Trucks,1.49,0.152,"Curtiss Motorcycles Company, Inc."
CMP,33.88,Basic Materials,1.36,60.96,"Compass Minerals International, Inc."
CMPD,32.43,Medical,1.96,0.3449,CompuMed Inc.
CMPGY,1590,Retail-Wholesale,0.44,25.25,Compass Group PLC
CMPR,27.9,Consumer Discretionary,0.06,125.77,Cimpress N.V
CMRE,118.18,Transportation,2.29,9.53,Costamare Inc.
CMRX,61.38,Medical,1.48,2.03,"Chimerix, Inc."
CMS,283.84,Utilities,0.06,62.84,CMS Energy Corporation
CMT,8.27,Industrial Products,0.39,3.25,Core Molding Technologies Inc
CMTL,24.39,Computer and Technology,1.46,35.49,Comtech Telecommunications Corp.
CMTV,5.22,Finance,-0.09,16,Community Bancorp.
CMTX,15.79,Business Services,-13.32,11,Comtex News Network Inc.
CMU,28.33,Finance,0.15,4.73,MFS High Yield Municipal Trust
CMWAY,1759.84,Finance,0.77,56.2,Commonwealth Bank of Australia Sponsored ADR
CNA,271.51,Finance,0.79,44.81,CNA Financial Corporation
CNAB,83.89,Medical,-0.93,0.1435,UTD CANNABIS CP
CNAF,2.86,Finance,0.3,20.4,Commercial National Financial Corp.
CNAT,33.17,Medical,2.12,0.4,Conatus Pharmaceuticals Inc.
CNBA,0.71,Finance,-0.07,18.37,Chester Bancorp Inc.
CNBKA,5.57,Finance,0.82,89.96,"Century Bancorp, Inc."
CNC,413.8,Medical,0.91,62.87,Centene Corporation
CNCE,23.84,Medical,1.05,9.225,"Concert Pharmaceuticals, Inc."
CNCT,234.47,Computer and Technology,1.14,0.0008,China Teletech Holding Inc.
CNDT,211.4,Business Services,1.83,6.2,Conduent Inc.
CNET,19.63,Business Services,2.37,1.165,"ChinaNet Online Holdings, Inc."
CNF,68.58,Finance,1.27,4,CNFinance Holdings Limited Sponsored ADR
CNFN,66.18,Finance,0.62,0.06,Accelerize Inc.
CNFR,9.59,Finance,1.46,4,"Conifer Holdings, Inc."
CNHI,1353.83,Auto-Tires-Trucks,1.36,11,CNH Industrial N.V.
CNI,715.37,Transportation,1,90.45,Canadian National Railway Company
CNIG,3.05,Utilities,0.3,20,Corning Natural Gas Holding Corp.
CNK,117.15,Consumer Discretionary,0.63,33.85,Cinemark Holdings Inc
CNMD,28.38,Medical,0.51,111.83,CONMED Corporation
CNNE,72.05,Finance,0.97,37.19,"Fidelity National Financial, Inc."
CNNEF,179.32,Oils-Energy,0.35,3.6518,Canacol Energy Ltd.
CNO,151.14,Finance,1.28,18.13,"CNO Financial Group, Inc."
CNOB,35.38,Finance,0.98,25.72,"ConnectOne Bancorp, Inc."
CNP,502.22,Utilities,0.44,27.27,"CenterPoint Energy, Inc."
CNQ,1184.36,Oils-Energy,1.24,32.35,Canadian Natural Resources Limited
CNR,125.57,Construction,2.18,8.51,"NCI Building Systems, Inc."
CNRD,5.02,Aerospace,1.21,11.34,Conrad Industries Inc.
CNRFF,1312.85,Construction,1.08,0.23,Consorcio ARA SAB
CNS,47.25,Finance,0.87,62.76,Cohen & Steers Inc
CNSL,72.07,Utilities,1.14,3.88,"Consolidated Communications Holdings, Inc."
CNSP,15.71,Medical,,3.95,"CNS Pharmaceuticals, Inc."
CNST,41.01,Medical,6.81,47.11,"Constellation Pharmaceuticals, Inc."
CNTFY,10.59,Computer and Technology,3.07,0.15,China TechFaith Wireless Communication Technology Limited
CNTG,19.86,Medical,,10.07,Centogene N.V.
CNTY,29.45,Consumer Discretionary,0.85,7.92,"Century Casinos, Inc."
CNX,186.59,Oils-Energy,0.64,8.85,CNX Resources Corporation.
CNXM,63.74,Oils-Energy,1.15,16.46,CNX Midstream Partners LP
CNXN,26.32,Retail-Wholesale,1.14,49.66,"PC Connection, Inc."
CNYCF,31.06,Basic Materials,2.24,0.0175,Canyon Copper Corp.
CO,121.55,Medical,0.14,5,China Cord Blood Corporation
COCP,35.15,Medical,0.27,0.4955,"Cocrystal Pharma, Inc."
CODA,10.69,Computer and Technology,1.82,8.37,Coda Octopus Group Inc.
CODI,59.9,Finance,1.18,24.86,Compass Diversified Holdings
CODX,17.12,Medical,,0.8952,"Co-Diagnostics, Inc."
COE,20.39,Consumer Discretionary,0.92,9.82,China Online Education Group
COF,465.72,Finance,1.29,102.91,Capital One Financial Corporation
COG,407.92,Oils-Energy,0.49,17.41,Cabot Oil & Gas Corporation
COHN,1.19,Finance,0.27,3.95,"Institutional Financial Markets, Inc."
COHR,24.15,Computer and Technology,1.82,166.35,"Coherent, Inc."
COHU,41.27,Computer and Technology,1.47,22.85,"Cohu, Inc."
COIHY,257.02,Basic Materials,0.65,33.38,Croda International PLC Unsponsored ADR
COKE,9.37,Consumer Staples,0.6,284.05,Coca-Cola Bottling Co. Consolidated
COLB,72.14,Finance,1.08,40.685,"Columbia Banking System, Inc."
COLD,191.76,Finance,0.52,35.06,Americold Realty Trust
COLL,33.53,Medical,0.8,20.58,"Collegium Pharmaceutical, Inc."
COLM,67.53,Consumer Discretionary,0.64,100.19,Columbia Sportswear Company
COMM,194.11,Computer and Technology,1.6,14.19,"CommScope Holding Company, Inc."
CONE,113.2,Finance,0.44,65.43,CyrusOne Inc
CONN,28.7,Retail-Wholesale,1.82,12.39,"Conn's, Inc."
COO,49.06,Medical,0.91,321.29,"The Cooper Companies, Inc."
COOP,91.09,Finance,0.52,12.51,MR. COOPER GROUP INC
COP,1097.27,Oils-Energy,1.13,65.03,ConocoPhillips
COR,37.69,Finance,0.42,112.12,CoreSite Realty Corporation
CORE,45.57,Business Services,0.76,27.19,"Core-Mark Holding Company, Inc."
CORR,13.53,Finance,1.34,44.71,"CorEnergy Infrastructure Trust, Inc."
CORT,114.28,Medical,1.27,12.1,Corcept Therapeutics Incorporated
CORV,50.52,Medical,0.29,0.41,Cardiome Pharma Corporation
CORVF,123.99,Basic Materials,-0.01,1.67,"Corvus Gold, Inc."
COST,441.76,Retail-Wholesale,0.89,293.92,Costco Wholesale Corporation
COT,134.7,Consumer Staples,0.89,13.68,Cott Corporation
COTE,915.27,Industrial Products,1.48,0.0001,Coates International Ltd.
COTQF,21.99,Medical,2.09,0.051,"Critical Outcome Technologies, Inc."
COTY,757.89,Consumer Staples,0.71,11.25,Coty Inc.
COUP,63.8,Computer and Technology,1.54,146.25,COUPA SOFTWARE
COVTY,385.2,Basic Materials,1.73,22.774,Covestro AG Sponsored ADR
COWN,29.52,Finance,1.48,15.75,"Cowen Group, Inc."
CP,137.16,Transportation,1.15,254.95,Canadian Pacific Railway Limited
CPA,42.19,Transportation,1.31,108.08,"Copa Holdings, S.A."
CPAC,84.77,Construction,0.83,9.2344,Cementos Pacasmayo S.A.A.
CPAH,5.96,Computer and Technology,1.24,0.93,CounterPath Corporation
CPB,301.65,Consumer Staples,0.43,49.42,Campbell Soup Company
CPCAY,786.77,Transportation,0.97,7.23,Cathay Pacific Airways Ltd.
CPE,228.39,Oils-Energy,1.59,4.83,Callon Petroleum Company
CPEU,128.62,Industrial Products,,,Chapeau Inc.
CPF,28.38,Finance,1.04,29.58,CPB Inc.
CPFH,0,Finance,-1.71,901.04,Capital Financial Holdings Inc.
CPG,547.61,Oils-Energy,1.17,4.47,Crescent Point Energy Corporation
CPHC,4.63,Consumer Discretionary,0.58,12.4,Canterbury Park Holding Corporation
CPHI,43.58,Medical,1.68,0.2368,"China Pharma Holdings, Inc."
CPIX,15.18,Medical,0.14,5.15,Cumberland Pharmaceuticals Inc.
CPK,16.4,Utilities,0.18,95.83,Chesapeake Utilities Corporation
CPKF,4.93,Finance,0.55,24,Chesapeake Financial Shares Inc.
CPKPY,962.87,Consumer Staples,0.61,2.01,C.P. Pokphand Co.
CPL,576.13,Utilities,0.43,17.24,CPFL Energia S.A.
CPLG,57.32,Finance,1.09,10.68,COREPOINT LODGE
CPLP,18.18,Transportation,1.12,13.44,Capital Product Partners L.P.
CPMD,37.91,Medical,1.34,1.26,Golden Dragon Holding Co.
CPRI,151.63,Retail-Wholesale,0.88,38.15,Capri Holdings Limited
CPRT,232.45,Business Services,0.8,90.94,"Copart, Inc."
CPRX,103.05,Medical,2.32,3.75,"Catalyst Pharmaceuticals, Inc."
CPS,16.84,Auto-Tires-Trucks,1.65,33.16,Cooper-Standard Holdings Inc.
CPSH,13.21,Computer and Technology,1.35,1.01,CPS Technologies Corp.
CPSI,14.36,Medical,0.58,26.4,"Computer Programs and Systems, Inc."
CPSS,22.53,Finance,1.5,3.37,"Consumer Portfolio Services, Inc."
CPST,8.41,Industrial Products,0.81,3.06,Capstone Turbine Corporation
CPT,96.83,Finance,0.35,106.1,Camden Property Trust
CPTA,16.18,Finance,1.18,8.73,Capitala Finance Corp.
CPTP,6.6,Finance,0.13,15.4,Capital Properties Inc.
CPTRF,39.38,Medical,5.36,0.208,NWT Uranium Corp.
CPWY,164.51,Oils-Energy,5.14,0.0033,Clean Energy Pathways Inc.
CPYYY,1400.29,Utilities,0.35,4.86,Centrica PLC
CQP,484.01,Oils-Energy,0.89,39.81,"Cheniere Energy Partners, LP"
CR,59.98,Conglomerates,1.39,86.38,Crane Company
CRAI,7.74,Business Services,1.11,54.47,Charles River Associates
CRARY,5686.69,Finance,1.49,7.23,Credit Agricole SA
CRAWA,2.86,Industrial Products,0.3,19.75,Hickok Inc.
CRBO,7.66,Oils-Energy,1.11,3.15,CARBON ENERGY CORP
CRBP,64.67,Medical,1.83,5.46,"Corbus Pharmaceuticals Holdings, Inc."
CRC,49.12,Oils-Energy,4.47,9.03,California Resources Corporation
